PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
203486,Mason,Plumlee,USA,7-0,254,Forward-Center,2013.0,2023.0,0,1,1,2021-22
203486,Mason,Plumlee,USA,7-0,254,Forward-Center,2013.0,2023.0,0,1,1,2022-23
1627751,Jakob,Poeltl,Austria,7-1,245,Center,2016.0,2023.0,0,0,1,2021-22
1627751,Jakob,Poeltl,Austria,7-1,245,Center,2016.0,2023.0,0,0,1,2022-23
1630197,Aleksej,Pokusevski,Serbia,7-0,210,Forward,2020.0,2023.0,0,1,0,2021-22
1630197,Aleksej,Pokusevski,Serbia,7-0,210,Forward,2020.0,2023.0,0,1,0,2022-23
1630582,Yves,Pons,France,6-5,206,Forward,2021.0,2021.0,0,1,0,2021-22
1629673,Jordan,Poole,USA,6-4,194,Guard,2019.0,2023.0,1,0,0,2021-22
1629673,Jordan,Poole,USA,6-4,194,Guard,2019.0,2023.0,1,0,0,2022-23
1629645,Kevin,Porter Jr.,USA,6-4,203,Guard-Forward,2019.0,2023.0,1,1,0,2021-22
1629645,Kevin,Porter Jr.,USA,6-4,203,Guard-Forward,2019.0,2023.0,1,1,0,2022-23
1629008,Michael,Porter Jr.,USA,6-10,218,Forward,2018.0,2023.0,0,1,0,2021-22
1629008,Michael,Porter Jr.,USA,6-10,218,Forward,2018.0,2023.0,0,1,0,2022-23
203490,Otto,Porter Jr.,USA,6-8,198,Forward,2013.0,2023.0,0,1,0,2021-22
203490,Otto,Porter Jr.,USA,6-8,198,Forward,2013.0,2023.0,0,1,0,2022-23
204001,Kristaps,Porzingis,Latvia,7-3,240,Forward-Center,2015.0,2023.0,0,1,1,2021-22
204001,Kristaps,Porzingis,Latvia,7-3,240,Forward-Center,2015.0,2023.0,0,1,1,2022-23
1630695,Micah,Potter,USA,6-8,248,Center,2021.0,2023.0,0,0,1,2021-22
1630695,Micah,Potter,USA,6-8,248,Center,2021.0,2023.0,0,0,1,2022-23
203939,Dwight,Powell,Canada,6-10,240,Forward-Center,2014.0,2023.0,0,1,1,2021-22
203939,Dwight,Powell,Canada,6-10,240,Forward-Center,2014.0,2023.0,0,1,1,2022-23
1629619,Myles,Powell,USA,6-2,195,Guard,2021.0,2021.0,1,0,0,2021-22
1626181,Norman,Powell,USA,6-4,215,Guard,2015.0,2023.0,1,0,0,2021-22
1626181,Norman,Powell,USA,6-4,215,Guard,2015.0,2023.0,1,0,0,2022-23
1630554,Jason,Preston,USA,6-3,181,Guard,2021.0,2023.0,1,0,0,2021-22
1630554,Jason,Preston,USA,6-3,181,Guard,2021.0,2023.0,1,0,0,2022-23
1630563,Joshua,Primo,Canada,6-6,189,Guard,2021.0,2022.0,1,0,0,2021-22
1630563,Joshua,Primo,Canada,6-6,189,Guard,2021.0,2022.0,1,0,0,2022-23
1627752,Taurean,Prince,USA,6-6,218,Forward,2016.0,2022.0,0,1,0,2021-22
1627752,Taurean,Prince,USA,6-6,218,Forward,2016.0,2022.0,0,1,0,2022-23
1630202,Payton,Pritchard,USA,6-1,195,Guard,2020.0,2023.0,1,0,0,2021-22
1630202,Payton,Pritchard,USA,6-1,195,Guard,2020.0,2023.0,1,0,0,2022-23
1630243,Trevelin,Queen,USA,6-6,190,Guard,2021.0,2022.0,1,0,0,2021-22
1630243,Trevelin,Queen,USA,6-6,190,Guard,2021.0,2022.0,1,0,0,2022-23
1629674,Neemias,Queta,Portugal,7-0,248,Center,2021.0,2023.0,0,0,1,2021-22
1629674,Neemias,Queta,Portugal,7-0,248,Center,2021.0,2023.0,0,0,1,2022-23
1630193,Immanuel,Quickley,USA,6-2,190,Guard,2020.0,2023.0,1,0,0,2021-22
