player_id,year,FGA,FGM,FGA_3pt,FGM_3pt,eFG,three_rate
1628964,2022,552,267,66,30,0.5108695652173914,0.11956521739130435
1628964,2023,238,116,20,11,0.5105042016806722,0.08403361344537816
1628966,2022,219,111,54,24,0.5616438356164384,0.2465753424657534
1628966,2023,425,215,92,39,0.5517647058823529,0.2164705882352941
1628969,2022,802,436,191,105,0.6091022443890274,0.23815461346633415
1628969,2023,1168,542,375,171,0.5372431506849316,0.3210616438356164
1628970,2022,1095,532,200,81,0.5228310502283106,0.182648401826484
1628971,2022,457,229,82,39,0.5437636761487965,0.17943107221006566
1628971,2023,696,337,140,54,0.5229885057471264,0.20114942528735633
1628972,2022,234,98,41,19,0.4594017094017094,0.1752136752136752
1628972,2023,395,178,75,33,0.49240506329113926,0.189873417721519
1628973,2022,942,471,362,170,0.5902335456475584,0.3842887473460722
1628973,2023,1098,542,565,273,0.6179417122040073,0.5145719489981785
1628975,2022,239,95,82,37,0.47489539748953974,0.34309623430962344
1628975,2023,510,217,185,82,0.5058823529411764,0.3627450980392157
1628976,2022,599,318,70,40,0.5642737896494157,0.11686143572621036
1628976,2023,553,291,66,32,0.5551537070524413,0.11934900542495479
1628977,2022,501,246,139,71,0.56187624750499,0.2774451097804391
1628977,2023,309,176,88,43,0.63915857605178,0.284789644012945
1628978,2022,305,112,80,24,0.4065573770491803,0.26229508196721313
1628978,2023,486,212,100,39,0.4763374485596708,0.205761316872428
1628981,2022,45,28,7,1,0.6333333333333333,0.15555555555555556
1628981,2023,105,53,22,10,0.5523809523809524,0.20952380952380953
1628982,2022,48,13,4,2,0.2916666666666667,0.08333333333333333
1628983,2022,942,430,359,131,0.5260084925690022,0.38110403397027603
1628983,2023,1300,667,512,241,0.6057692307692307,0.39384615384615385
1628984,2022,719,260,224,70,0.4102920723226704,0.31154381084840055
1628984,2023,406,156,156,55,0.45197044334975367,0.3842364532019704
1628988,2022,321,143,93,43,0.5124610591900312,0.2897196261682243
1628988,2023,201,86,81,35,0.5149253731343284,0.40298507462686567
1628989,2022,690,314,236,101,0.5282608695652173,0.34202898550724636
1628989,2023,783,385,254,145,0.5842911877394636,0.3243933588761175
